"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"21","IFN4","42_257_A_1","IFN4_42_257_A_1_21",21,0,14.1471060526129,35.95,1015.05054987027,20.6,57.3018080667594,280,11.6
"22","IFN4","42_257_A_1","IFN4_42_257_A_1_22",21,0,5.09295817894065,42.5,1418.62543263664,20,47.0588235294118,284,19.5
"23","IFN4","42_257_A_1","IFN4_42_257_A_1_23",21,0,5.09295817894065,44.55,1558.78169839032,16.5,37.037037037037,295,1.2
"24","IFN4","42_257_A_1","IFN4_42_257_A_1_24",21,0,5.09295817894065,58.15,2655.76302117081,19.5,33.5339638865004,300,23.700001
"25","IFN4","42_257_A_1","IFN4_42_257_A_1_25",21,0,5.09295817894065,47.65,1783.26420145258,21,44.0713536201469,305,10
"26","IFN4","42_257_A_1","IFN4_42_257_A_1_26",21,0,5.09295817894065,61.55,2975.4043657103,23.5,38.1803411860276,327,16.799999
"27","IFN4","42_257_A_1","IFN4_42_257_A_1_27",21,0,5.09295817894065,43.6,1493.01049269201,21,48.1651376146789,327,5.8000002
"28","IFN4","42_257_A_1","IFN4_42_257_A_1_28",21,0,5.09295817894065,51.95,2119.63452687244,23.6,45.4282964388835,336,8.8999996
"29","IFN4","42_257_A_1","IFN4_42_257_A_1_29",21,0,5.09295817894065,56.75,2529.42387260669,21,37.0044052863436,345,18.799999
"30","IFN4","42_257_A_1","IFN4_42_257_A_1_30",21,0,5.09295817894065,42.95,1448.82595551468,22.4,52.1536670547148,350,14.4
"31","IFN4","42_257_A_1","IFN4_42_257_A_1_31",21,0,5.09295817894065,66,3421.19439975928,24,36.3636363636364,355,25.1
"32","IFN4","42_257_A_1","IFN4_42_257_A_1_32",21,0,5.09295817894065,43.95,1517.07705591392,19.4,44.1410693970421,356,3.5999999
"33","IFN4","42_257_A_1","IFN4_42_257_A_1_33",21,0,5.09295817894065,44.45,1551.79165473609,20.9,47.0191226096738,362,9.6999998
"34","IFN4","42_257_A_1","IFN4_42_257_A_1_34",21,0,5.09295817894065,43.7,1499.86701865847,23.1,52.8604118993135,376,21.799999
"35","IFN4","42_257_A_1","IFN4_42_257_A_1_35",21,0,5.09295817894065,49.95,1959.57038117204,24.299999,48.6486466466466,389,25
"36","IFN4","42_257_A_1","IFN4_42_257_A_1_36",21,0,5.09295817894065,44.65,1565.78745000783,23,51.511758118701,393,17.6
