"","PLOT_ID","INVENTORY_ID","Province","Study_Area","Class","Subclass","X_UTM","Y_UTM","Forest_type","Deadwood","YEAR","AGE","ID_SP1","ID_SP2","ID_SP3","N","N_sp_1","N_sp_2","dbh_mean","dg","Do","G","G_sp_1","G_sp_2","h_mean","Ho","Canopy_cover","slenderness","dominant_slenderness","SDI","S","S_staggered","MARTONNE","MARTONNE_2020","MARTONNE_2040","MARTONNE_2060","MARTONNE_2080"
"14","1_1099_A_3E","IFN3",1,1099,"A","3E",555000,4741000,"plantation",0,2000,35,21,71,33,524.999105612465,190.985931710274,189.005336862909,23.9692670439235,25.2043693387572,35.6741847826087,26.1938969722222,9.91144236111111,8.57704072222222,14.3416868768526,16.945652173913,90,59.8336480234109,47.5011616303959,531.904377915086,25.7550519595406,47.9355529999511,45.3972168969301,77.8867927375066,75.9272732209765,74.306049759018,74.8936172112344
"1707","19_20_A_1","IFN3",19,20,"A","1",470000,4562000,"plantation",0,2000,20,21,71,NA,449.17061717046,389.045416446855,60.1252007236049,20.507874015748,20.8376277988514,25.1243243243243,15.3178486111111,13.0529145833333,2.26493402777778,7.84645669291339,7.83783783783784,65,38.2607026300634,31.1962134251291,335.327451686558,60.2002170030049,112.045228923994,35.7367321043098,62.2978723404255,60.7346941730669,60.7114625650177,59.7628459624393
"3477","25_2422_A_1","IFN3",25,2422,"A","1",393000,4663000,"natural",0,2000,30,71,21,NA,1043.3490713802,983.223870656598,60.1252007236049,16.7477966101695,17.9659970735681,28.61875,26.4497861111111,23.940975,2.50881111111111,15.6450847457627,21.2625,90,93.4157794599846,74.2956977506006,613.946172091117,14.5603178761453,27.0998051312239,19.8148831527791,32.7272731603821,31.7288139439698,31.7880792945295,31.893687492909
"3649","26_277_A_1","IFN3",26,277,"A","1",508000,4682000,"natural",0,2000,35,71,21,NA,545.370938328228,513.539949709849,31.8309886183791,21.492944228275,23.2963961297224,37.1061538461538,23.2465954444444,22.3770391944444,0.86955625,16.6071076523995,19.9107692307692,70,77.2677185406365,53.6589410837929,486.963835271219,21.506313157909,40.027759052243,36.8777287432072,56.4143428438283,54.4615387112431,53.9325842937426,53.7313434986846
"5721","42_105_A_1 ","IFN3",42,105,"A","1 ",544000,4661000,"natural",0,2000,30,21,71,NA,422.432586731022,273.887973178586,148.544613552436,19.4385130609511,20.0576359744643,25.9149456521739,13.3477106666667,7.31209052777778,6.03562013888889,12.4268251841929,14.1902173913043,80,63.9288876943804,54.7568865540491,296.635203058727,34.2872176986522,63.8157027909144,40.2056492186752,77.0642203520508,74.7368430430869,72.5106382978723,72.2033901222819
"5722","42_106_A_1 ","IFN3",42,106,"A","1 ",545000,4661000,"plantation",0,2000,35,21,71,NA,2224.63242677338,1810.82957473445,413.802852038928,13.7044515103339,14.2977379335298,22.6128571428571,35.7176444444444,32.9596881944444,2.75795625,10.093799682035,11.9428571428571,80,73.653437895152,52.8144544822794,907.336993519909,17.7526271104014,33.0413621015345,38.8468375266314,71.7857139800884,69.743590169953,67.717842256659,67.4380167282456
"5738","42_118_A_3E","IFN3",42,118,"A","3E",541000,4660000,"plantation",0,2000,30,21,71,43,1404.10027572183,926.635446446146,350.14087480217,13.6818639798489,14.8328470000181,25.5216216216216,24.2625833333333,20.1922520833333,3.46193125,8.47229219143577,11.3648648648649,80,61.9235230222582,44.5303399343429,607.46290198882,23.4820853162384,43.705085394283,41.4592183795979,68.8789231776856,66.9527891514922,64.999999354283,64.7302900722099
"7832","9_1491_A_1","IFN3",9,1491,"A","1",470000,4675000,"plantation",0,2000,35,21,71,NA,222.816920328653,127.323954473516,95.4929658551372,21.3420634920635,22.3018568164249,27.0875,8.70402430555556,7.21205555555556,1.49196875,11.4698412698413,10.9375,50,53.7428879550779,40.3784033225657,185.499095213156,61.2502478345764,113.999556512129,35.3878925951201,60.7346935820351,58.5826769453984,57.9310340329479,57.7099234278014
"7833","9_1506_A_1","IFN3",9,1506,"A","1",466000,4674000,"natural",0,2000,30,71,21,43,1846.19733986599,1170.67302585372,438.560287631001,13.9782567049808,14.9257926556169,26.975,32.3029965277778,16.3994375,11.9564479166667,8.97605363984674,10.85,90,64.2143997587934,40.2224281742354,806.777802754978,21.4501928636757,39.9233074152276,36.704543438888,59.9999995385447,57.8988323088362,57.2727277123731,57.0566033885843
