"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"128880","IFN4","5_846_A_1","IFN4_5_846_A_1_20",21,0,31.8309886183791,13.2,136.847775990371,6.5,49.2424242424242,164,5.6999998
"128881","IFN4","5_846_A_1","IFN4_5_846_A_1_21",25,0,14.1471060526129,34.1,913.268838380187,14.7,43.108504398827,172,4.3000002
"128882","IFN4","5_846_A_1","IFN4_5_846_A_1_22",626,0,31.8309886183791,12.7,126.676869774374,10.5,82.6771653543307,185,7.1999998
"128883","IFN4","5_846_A_1","IFN4_5_846_A_1_23",21,0,31.8309886183791,13.95,152.840446092552,8.8999996,63.7992802867383,190,1.4
"128884","IFN4","5_846_A_1","IFN4_5_846_A_1_24",21,0,31.8309886183791,19.5,298.64765163188,13.7,70.2564102564103,194,6.1999998
"128886","IFN4","5_846_A_1","IFN4_5_846_A_1_26",21,0,127.323954473516,11.05,95.899079246237,6,54.2986425339367,224,4.3000002
"128887","IFN4","5_846_A_1","IFN4_5_846_A_1_27",626,0,14.1471060526129,23.95,450.506350020185,9.8000002,40.9185812108559,230,9.6999998
"128888","IFN4","5_846_A_1","IFN4_5_846_A_1_28",21,0,31.8309886183791,22.15,385.334010421465,14.3,64.5598194130926,234,6.0999999
"128889","IFN4","5_846_A_1","IFN4_5_846_A_1_29",21,0,31.8309886183791,12.65,125.681377602268,9.5,75.098814229249,261,3.5999999
"128890","IFN4","5_846_A_1","IFN4_5_846_A_1_30",25,0,14.1471060526129,36.75,1060.72930705347,15.2,41.3605442176871,280,8.1999998
"128891","IFN4","5_846_A_1","IFN4_5_846_A_1_31",21,0,31.8309886183791,13.7,147.411381288067,10,72.992700729927,285,0.69999999
"128892","IFN4","5_846_A_1","IFN4_5_846_A_1_32",21,0,14.1471060526129,27.05,574.677799653321,11.7,43.2532347504621,291,12.6
"128893","IFN4","5_846_A_1","IFN4_5_846_A_1_33",21,0,31.8309886183791,14.7,169.716689128555,9.8999996,67.3469360544218,296,7.5
"128894","IFN4","5_846_A_1","IFN4_5_846_A_1_34",21,0,14.1471060526129,22.5,397.607820219958,13.3,59.1111111111111,297,4.8000002
"128895","IFN4","5_846_A_1","IFN4_5_846_A_1_35",21,0,31.8309886183791,13.15,135.813013910095,7.1999998,54.7528501901141,310,8.6999998
"128896","IFN4","5_846_A_1","IFN4_5_846_A_1_36",21,0,14.1471060526129,28.4,633.470742669846,11.2,39.4366197183099,320,6.5
"128897","IFN4","5_846_A_1","IFN4_5_846_A_1_37",21,0,31.8309886183791,20.3,323.654729154455,13.2,65.0246305418719,336,2
"128898","IFN4","5_846_A_1","IFN4_5_846_A_1_38",21,0,14.1471060526129,24.75,481.105462466149,12.2,49.2929292929293,344,4.3000002
"128899","IFN4","5_846_A_1","IFN4_5_846_A_1_39",21,0,31.8309886183791,18.95,282.038443971432,10.7,56.4643799472296,389,5.5
"128900","IFN4","5_846_A_1","IFN4_5_846_A_1_40",21,0,31.8309886183791,13.4,141.026094219646,8,59.7014925373134,395,3.7
"161050","IFN4","9_68_A_1","IFN4_9_68_A_1_4",21,0,14.1471060526129,22.85,410.074052568484,15.8,69.1466083150985,34,12.5
"161053","IFN4","9_68_A_1","IFN4_9_68_A_1_7",21,0,14.1471060526129,29.3,674.256469295075,17.799999,60.7508498293515,56,9.1999998
"161054","IFN4","9_68_A_1","IFN4_9_68_A_1_8",21,0,5.09295817894065,43.95,1517.07705591392,19.299999,43.9135358361775,60,16.5
"161055","IFN4","9_68_A_1","IFN4_9_68_A_1_9",21,0,14.1471060526129,22.5,397.607820219958,11.6,51.5555555555556,67,12.8
"161056","IFN4","9_68_A_1","IFN4_9_68_A_1_10",21,0,14.1471060526129,23.65,439.290864246869,7,29.5983086680761,68,14.2
"161058","IFN4","9_68_A_1","IFN4_9_68_A_1_12",21,0,14.1471060526129,26.15,537.072935589851,14.8,56.5965583173996,84,8.1000004
"161060","IFN4","9_68_A_1","IFN4_9_68_A_1_14",43,0,14.1471060526129,23.25,424.556794701533,10.9,46.8817204301075,99,10.4
"161061","IFN4","9_68_A_1","IFN4_9_68_A_1_15",21,0,14.1471060526129,33.55,884.046136215576,13.4,39.9403874813711,108,11.8
"161063","IFN4","9_68_A_1","IFN4_9_68_A_1_17",21,0,31.8309886183791,21.7,369.836141162224,8.1000004,37.3271907834101,124,8.8000002
"161064","IFN4","9_68_A_1","IFN4_9_68_A_1_18",21,0,14.1471060526129,24.7,479.163565507149,7.5999999,30.7692303643725,132,10.9
"161072","IFN4","9_68_A_1","IFN4_9_68_A_1_26",43,0,31.8309886183791,14.8,172.033613710577,7.5,50.6756756756757,181,3.5999999
"161073","IFN4","9_68_A_1","IFN4_9_68_A_1_27",21,0,31.8309886183791,20.95,344.713217410549,6.4000001,30.5489264916468,193,6.6999998
"161075","IFN4","9_68_A_1","IFN4_9_68_A_1_29",21,0,14.1471060526129,31.2,764.537988177612,16.200001,51.9230801282051,203,11.2
"161078","IFN4","9_68_A_1","IFN4_9_68_A_1_32",21,0,14.1471060526129,26.75,562.001473296087,10.5,39.2523364485981,204,1.5
"161079","IFN4","9_68_A_1","IFN4_9_68_A_1_33",43,0,31.8309886183791,18,254.469004940773,7.5,41.6666666666667,222,4.8000002
"161080","IFN4","9_68_A_1","IFN4_9_68_A_1_34",43,0,31.8309886183791,14.95,175.538453014738,13,86.9565217391304,231,7.3000002
"161081","IFN4","9_68_A_1","IFN4_9_68_A_1_35",43,0,31.8309886183791,16.4,211.240690027378,12.2,74.390243902439,237,8.3999996
"161083","IFN4","9_68_A_1","IFN4_9_68_A_1_37",43,0,31.8309886183791,18.95,282.038443971432,12.6,66.490765171504,245,9.6000004
"161084","IFN4","9_68_A_1","IFN4_9_68_A_1_38",43,0,31.8309886183791,19.2,289.529178954835,12,62.5,245,7
"161085","IFN4","9_68_A_1","IFN4_9_68_A_1_39",43,0,31.8309886183791,16.8,221.670777637296,12.5,74.4047619047619,254,6.0999999
"161086","IFN4","9_68_A_1","IFN4_9_68_A_1_40",21,0,31.8309886183791,14,153.9380400259,9.6000004,68.5714314285714,270,2.9000001
"161087","IFN4","9_68_A_1","IFN4_9_68_A_1_41",21,0,31.8309886183791,20.3,323.654729154455,12,59.1133004926108,274,7.9000001
"161090","IFN4","9_68_A_1","IFN4_9_68_A_1_44",21,0,14.1471060526129,30.2,716.314540945009,15.1,50,304,2.0999999
"161091","IFN4","9_68_A_1","IFN4_9_68_A_1_45",43,0,31.8309886183791,15.2,181.458391671346,8.5,55.921052631579,315,6
"161094","IFN4","9_68_A_1","IFN4_9_68_A_1_48",43,0,31.8309886183791,13.55,144.20106629518,8.6000004,63.4686376383764,328,4.1999998
"161096","IFN4","9_68_A_1","IFN4_9_68_A_1_50",21,0,14.1471060526129,23.95,450.506350020185,15.9,66.3883089770355,330,14.6
"161097","IFN4","9_68_A_1","IFN4_9_68_A_1_51",21,0,14.1471060526129,29.6,688.134454842308,16.1,54.3918918918919,343,4.4000001
"161192","IFN4","9_76_A_1","IFN4_9_76_A_1_6",21,0,31.8309886183791,18.65,273.179152688309,13.8,73.9946380697051,30,9.8999996
"161195","IFN4","9_76_A_1","IFN4_9_76_A_1_9",21,0,14.1471060526129,22.6,401.149965936881,14.7,65.0442477876106,43,12.3
"161197","IFN4","9_76_A_1","IFN4_9_76_A_1_11",21,0,14.1471060526129,23.4,430.052618349907,15.6,66.6666666666667,54,12.2
"161198","IFN4","9_76_A_1","IFN4_9_76_A_1_12",43,0,31.8309886183791,13.9,151.746779150021,9.3000002,66.9064762589928,75,9.3000002
"161199","IFN4","9_76_A_1","IFN4_9_76_A_1_13",43,0,31.8309886183791,14.5,165.129963854314,14.1,97.2413793103448,86,9.5
"161203","IFN4","9_76_A_1","IFN4_9_76_A_1_17",21,0,31.8309886183791,21.1,349.667116326178,14.3,67.7725118483412,119,6
"161204","IFN4","9_76_A_1","IFN4_9_76_A_1_18",21,0,31.8309886183791,19.35,294.070743834681,13.3,68.733850129199,123,8
