"","INVENTORY_ID","PLOT_ID","TREE_ID","species","dead","expan","dbh","g","height","slenderness","bearing","distance"
"720259","IFN4","34_217_A_1","IFN4_34_217_A_1_11",26,0,14.1471060526129,40.25,1272.39411208908,13.2,32.7950310559006,139,7.5
"720261","IFN4","34_217_A_1","IFN4_34_217_A_1_13",25,0,14.1471060526129,24.55,473.361436575051,13.6,55.3971486761711,182,10.5
"720262","IFN4","34_217_A_1","IFN4_34_217_A_1_14",25,0,31.8309886183791,14.8,172.033613710577,13,87.8378378378378,213,7.5999999
"720263","IFN4","34_217_A_1","IFN4_34_217_A_1_15",25,0,31.8309886183791,12.95,131.713235497161,13.2,101.930501930502,215,5.3000002
"720264","IFN4","34_217_A_1","IFN4_34_217_A_1_16",26,0,14.1471060526129,41.35,1342.89145123563,13.2,31.9226118500605,227,9.6999998
"720265","IFN4","34_217_A_1","IFN4_34_217_A_1_17",25,0,31.8309886183791,18.5,268.802521422777,12.8,69.1891891891892,229,3.4000001
"720266","IFN4","34_217_A_1","IFN4_34_217_A_1_18",26,0,14.1471060526129,39.15,1203.79743649795,12.3,31.4176245210728,244,5.0999999
"720267","IFN4","34_217_A_1","IFN4_34_217_A_1_19",26,0,5.09295817894065,44.15,1530.91577155298,16.799999,38.0520928652322,256,17.5
"720268","IFN4","34_217_A_1","IFN4_34_217_A_1_20",21,0,14.1471060526129,24.05,454.276261204493,14.8,61.5384615384615,261,13.3
"720269","IFN4","34_217_A_1","IFN4_34_217_A_1_21",25,0,31.8309886183791,22.45,395.842637847722,13.4,59.6881959910913,266,7.4000001
"720270","IFN4","34_217_A_1","IFN4_34_217_A_1_22",25,0,14.1471060526129,22.6,401.149965936881,13.1,57.9646017699115,270,12.4
"720271","IFN4","34_217_A_1","IFN4_34_217_A_1_23",26,0,14.1471060526129,40.6,1294.61891661782,15.1,37.192118226601,272,14.6
"720273","IFN4","34_217_A_1","IFN4_34_217_A_1_25",21,0,14.1471060526129,22.55,399.376929583011,13.9,61.6407982261641,330,14.8
"720274","IFN4","34_217_A_1","IFN4_34_217_A_1_26",43,0,31.8309886183791,12.9,130.698108370969,9.8000002,75.9689937984496,333,8.5
"720277","IFN4","34_217_A_1","IFN4_34_217_A_1_29",21,0,14.1471060526129,23.65,439.290864246869,13.5,57.0824524312896,359,13.8
"720278","IFN4","34_217_A_1","IFN4_34_217_A_1_30",21,0,14.1471060526129,27.05,574.677799653321,11.3,41.7744916820702,362,5.5999999
"720279","IFN4","34_217_A_1","IFN4_34_217_A_1_31",21,0,31.8309886183791,22.2,387.075630848798,12.6,56.7567567567568,373,7.3000002
"720281","IFN4","34_217_A_1","IFN4_34_217_A_1_33",21,0,14.1471060526129,27.5,593.95736106932,12.5,45.4545454545455,383,11.5
"720282","IFN4","34_217_A_1","IFN4_34_217_A_1_34",26,0,14.1471060526129,24.05,454.276261204493,13.5,56.1330561330561,394,9.1000004
"720283","IFN4","34_217_A_1","IFN4_34_217_A_1_35",21,0,14.1471060526129,25.75,520.768069717721,12.8,49.7087378640777,394,7.3000002
"724280","IFN4","34_475_A_1","IFN4_34_475_A_1_1",21,0,14.1471060526129,31.15,762.08950940322,16.9,54.2536115569823,8,7.1999998
"724281","IFN4","34_475_A_1","IFN4_34_475_A_1_2",21,0,14.1471060526129,24.5,471.435247579318,15.3,62.4489795918367,47,9.8999996
"724283","IFN4","34_475_A_1","IFN4_34_475_A_1_4",21,0,14.1471060526129,30.25,718.688406893878,13.5,44.6280991735537,57,2.5
"724284","IFN4","34_475_A_1","IFN4_34_475_A_1_5",21,0,14.1471060526129,41.5,1352.65198691126,15,36.144578313253,71,12.7
"724285","IFN4","34_475_A_1","IFN4_34_475_A_1_6",21,0,14.1471060526129,29.1,665.083018746593,15.6,53.6082474226804,97,10.8
"724286","IFN4","34_475_A_1","IFN4_34_475_A_1_7",21,0,14.1471060526129,28.8,651.44065264838,17.700001,61.4583368055556,105,4.8000002
"724287","IFN4","34_475_A_1","IFN4_34_475_A_1_8",21,0,14.1471060526129,32.35,821.936849454106,14.1,43.5857805255023,121,12.6
"724288","IFN4","34_475_A_1","IFN4_34_475_A_1_9",21,0,14.1471060526129,31.65,786.7510117339,14.7,46.4454976303318,135,9.5
"724289","IFN4","34_475_A_1","IFN4_34_475_A_1_10",21,0,14.1471060526129,24.35,465.680242537024,15.9,65.2977412731006,154,5.5999999
"724290","IFN4","34_475_A_1","IFN4_34_475_A_1_11",21,0,14.1471060526129,27.5,593.95736106932,13,47.2727272727273,168,9.8000002
"724291","IFN4","34_475_A_1","IFN4_34_475_A_1_12",21,0,14.1471060526129,29.2,669.6618900392,14.5,49.6575342465753,193,14.1
"724292","IFN4","34_475_A_1","IFN4_34_475_A_1_13",21,0,14.1471060526129,28.55,640.180006480669,13.9,48.6865148861646,211,10.3
"724293","IFN4","34_475_A_1","IFN4_34_475_A_1_14",21,0,14.1471060526129,34.7,945.690074565234,13.7,39.4812680115274,219,4.8000002
